task,mouse,n_sessions,n_trials,n_punished,pct_punished_pooled,mean_pct_punished,sem_pct_punished,total_false_alarms
AppetitveTaskReal,m90,13,780,510,65.38461538461539,65.38461538461537,4.474340606824397,1221
AppetitveTaskReal,m92,11,660,285,43.18181818181818,43.18181818181818,4.971913770180287,660
AppetitveTaskReal,m93,12,727,427,58.73452544704264,58.838824389671856,3.763449949936503,779
AppetitveTaskReal,m97,8,480,379,78.95833333333333,78.95833333333333,2.689955965297219,1246
AppetitveTaskReal,m98,12,732,260,35.51912568306011,35.51912568306012,3.4970348904090325,495
AppetitveTaskReal,m100,4,245,158,64.48979591836735,64.51612903225806,7.1975331227951465,594
AppetitveTaskReal,m101,12,730,329,45.06849315068493,45.10928961748635,4.00428964512013,800
AppetitveTaskReal,m102,11,671,464,69.150521609538,69.15052160953802,3.093252176243126,2363
AppetitveTaskReal,m103,12,732,428,58.46994535519126,58.469945355191264,3.945656544973602,1131
AppetitveTaskReal,m104,12,720,415,57.638888888888886,57.63888888888889,3.661028340138215,1210
Generalization,m90,4,243,197,81.06995884773663,81.12021857923497,5.757252675920313,817
Generalization,m92,4,243,168,69.1358024691358,69.15983606557377,3.5071328694388804,444
Generalization,m93,4,243,186,76.54320987654322,76.53688524590164,5.078702348931856,511
Generalization,m97,4,243,159,65.4320987654321,65.52595628415301,12.616416072223135,518
Generalization,m98,4,243,164,67.48971193415638,67.42486338797815,6.416988919848303,611
Generalization,m100,4,243,196,80.65843621399176,80.65573770491802,2.7135975995486654,793
Generalization,m101,4,243,165,67.90123456790124,67.93032786885246,5.9634903079680965,677
Generalization,m102,4,243,193,79.42386831275721,79.46721311475409,6.982585099366251,1805
Generalization,m103,4,244,176,72.1311475409836,72.1311475409836,7.239148251088402,678
Generalization,m104,4,244,181,74.18032786885246,74.18032786885246,5.693624585840083,624
