task,trial_index,n_sessions_reaching,pct_punished,mean_false_alarms
AppetitveTaskReal,1,107,45.6,0.944
AppetitveTaskReal,2,107,51.9,1.13
AppetitveTaskReal,3,107,55.12,1.179
AppetitveTaskReal,4,107,59.08,1.813
AppetitveTaskReal,5,107,58.65,1.578
AppetitveTaskReal,6,107,65.56,1.759
AppetitveTaskReal,7,107,63.68,2.095
AppetitveTaskReal,8,107,66.72,1.905
AppetitveTaskReal,9,107,62.35,1.718
AppetitveTaskReal,10,107,64.56,1.883
AppetitveTaskReal,11,107,63.65,1.952
AppetitveTaskReal,12,107,59.01,1.753
AppetitveTaskReal,13,107,60.68,1.468
AppetitveTaskReal,14,107,66.1,1.818
AppetitveTaskReal,15,107,54.43,1.861
AppetitveTaskReal,16,107,58.81,1.944
AppetitveTaskReal,17,107,52.19,1.556
AppetitveTaskReal,18,107,56.44,1.711
AppetitveTaskReal,19,107,56.29,1.972
AppetitveTaskReal,20,107,64.56,1.87
AppetitveTaskReal,21,107,69.12,2.045
AppetitveTaskReal,22,107,54.7,2.369
AppetitveTaskReal,23,107,49.89,1.739
AppetitveTaskReal,24,107,48.15,2.063
AppetitveTaskReal,25,107,57.62,1.592
AppetitveTaskReal,26,107,59.65,1.733
AppetitveTaskReal,27,107,66.25,2.214
AppetitveTaskReal,28,107,57.02,1.629
AppetitveTaskReal,29,107,54.65,1.743
AppetitveTaskReal,30,107,57.29,2.133
AppetitveTaskReal,31,107,57.98,1.492
AppetitveTaskReal,32,107,55.88,1.866
AppetitveTaskReal,33,107,68.78,2.488
AppetitveTaskReal,34,107,56.95,1.599
AppetitveTaskReal,35,107,61.04,1.871
AppetitveTaskReal,36,107,53.67,1.604
AppetitveTaskReal,37,107,53.09,1.452
AppetitveTaskReal,38,107,65.29,1.832
AppetitveTaskReal,39,107,59.77,1.604
AppetitveTaskReal,40,107,59.73,2.273
AppetitveTaskReal,41,107,61.52,1.959
AppetitveTaskReal,42,107,55.21,1.551
AppetitveTaskReal,43,107,58.26,1.964
AppetitveTaskReal,44,107,67.05,1.747
AppetitveTaskReal,45,107,60.9,1.981
AppetitveTaskReal,46,107,60.14,1.409
AppetitveTaskReal,47,107,59.1,1.602
AppetitveTaskReal,48,107,61.52,2.058
AppetitveTaskReal,49,107,47.95,1.415
AppetitveTaskReal,50,107,62.51,1.885
AppetitveTaskReal,51,107,52.05,1.329
AppetitveTaskReal,52,107,59.02,1.716
AppetitveTaskReal,53,107,63.06,1.678
AppetitveTaskReal,54,107,59.51,1.702
AppetitveTaskReal,55,107,57.42,1.745
AppetitveTaskReal,56,107,60.38,1.594
AppetitveTaskReal,57,107,54.61,1.338
AppetitveTaskReal,58,107,55.04,1.508
AppetitveTaskReal,59,107,57.54,1.78
AppetitveTaskReal,60,106,22.27,0.781
AppetitveTaskReal,61,51,8.33,0.083
AppetitveTaskReal,62,3,75.0,2.0
AppetitveTaskReal,63,2,0.0,0.0
AppetitveTaskReal,64,1,0.0,0.0
AppetitveTaskReal,65,1,0.0,0.0
Generalization,1,40,80.0,3.475
Generalization,2,40,82.5,3.275
Generalization,3,40,82.5,3.825
Generalization,4,40,90.0,5.175
Generalization,5,40,82.5,3.875
Generalization,6,40,97.5,5.375
Generalization,7,40,90.0,4.275
Generalization,8,40,90.0,3.375
Generalization,9,40,77.5,4.175
Generalization,10,40,87.5,4.15
Generalization,11,40,82.5,3.975
Generalization,12,40,77.5,5.175
Generalization,13,40,77.5,4.725
Generalization,14,40,82.5,4.725
Generalization,15,40,85.0,3.175
Generalization,16,40,77.5,5.1
Generalization,17,40,75.0,3.675
Generalization,18,40,80.0,4.675
Generalization,19,40,65.0,5.0
Generalization,20,40,72.5,4.125
Generalization,21,40,77.5,3.225
Generalization,22,40,72.5,2.625
Generalization,23,40,80.0,2.85
Generalization,24,40,72.5,5.15
Generalization,25,40,82.5,3.75
Generalization,26,40,77.5,2.775
Generalization,27,40,80.0,3.125
Generalization,28,40,70.0,2.85
Generalization,29,40,67.5,3.175
Generalization,30,40,67.5,3.3
Generalization,31,40,82.5,1.875
Generalization,32,40,65.0,2.45
Generalization,33,40,75.0,2.625
Generalization,34,40,77.5,3.35
Generalization,35,40,75.0,3.55
Generalization,36,40,85.0,3.0
Generalization,37,40,72.5,2.65
Generalization,38,40,65.0,2.35
Generalization,39,40,82.5,3.575
Generalization,40,40,67.5,2.125
Generalization,41,40,72.5,3.35
Generalization,42,40,77.5,2.4
Generalization,43,40,62.5,2.275
Generalization,44,40,70.0,2.55
Generalization,45,40,52.5,1.75
Generalization,46,40,72.5,2.05
Generalization,47,40,70.0,2.2
Generalization,48,40,65.0,1.225
Generalization,49,40,72.5,2.1
Generalization,50,40,72.5,2.0
Generalization,51,40,67.5,2.2
Generalization,52,40,67.5,2.4
Generalization,53,40,80.0,2.425
Generalization,54,40,82.5,2.45
Generalization,55,40,72.5,2.7
Generalization,56,40,67.5,2.2
Generalization,57,40,62.5,1.525
Generalization,58,40,62.5,1.775
Generalization,59,40,52.5,1.15
Generalization,60,40,30.0,0.525
Generalization,61,32,0.0,0.0
